🥐  SNACKOH BAKERS — MASTER PRODUCT CATALOGUE,,,,,,,,,,,,,,
Ruaka • Banana • Muchatha • Joyland • Gachie • Ndenderu • Redhill  |  All prices in KES  |  Bulk cost = buying ingredients in commercial quantities,,,,,,,,,,,,,,
Product Name,Code,Category,Description (Website),"Selling
Price (KES)","Bulk Cost
of Prod (KES)","Gross
Margin %",Stock Unit,"Shelf Life
(days)",Allergens,"Dietary
Labels","Reorder
Level",Notes / Made On Order,Availability,"Key Ingredients
(Bulk Sourcing)"
Beef Samosa,BRK-02,Breakfast,"Golden, crispy triangular pastry packed with spiced minced beef, onions and fresh herbs — an East African icon.",KES 60,KES 20,66.7%,pcs,1,"Gluten, Beef",Halal,150,Batch-cook; display in warmer,Breakfast / Snack,"Minced beef (bulk ~KES 880/kg), wheat flour, onions, spices, oil"
Smocha,BRK-03,Breakfast,"A smokie tucked inside a crispy chapati wrap, topped with tangy tomato salsa and chilli sauce — irresistible street fusion.",KES 80,KES 28,65.0%,pcs,1,"Gluten, Beef",Halal,100,Made to order; pair with smokie sauce,All day,"Smokies (bulk KES 350/pack of 10), wheat flour, tomato, chilli"
Boiled Eggs,BRK-04,Breakfast,"Two farm-fresh eggs boiled to your preference — soft, medium or hard. Served with a pinch of salt and pepper.",KES 60,KES 20,66.7%,pcs,1,Eggs,"Halal, Vegetarian",120,Boil in batches; 2 eggs per serving,Breakfast,Eggs (tray of 30 ~KES 450 bulk; ~KES 15/egg)
Toast Mayai,BRK-05,Breakfast,"Fluffy scrambled or fried egg on toasted white or brown bread — simple, hearty and deeply satisfying.",KES 120,KES 38,68.3%,pcs,Made on order,"Gluten, Eggs, Dairy","Halal, Vegetarian",80,Made on order,Breakfast,"Bread (loaf bulk KES 60), eggs (bulk KES 15/pc), butter, salt"
Sandwich,BRK-06,Breakfast,"Freshly assembled sandwich on toasted bread with your choice of filling — egg, beef or veggie with crisp salad.",KES 180,KES 60,66.7%,pcs,Made on order,"Gluten, Eggs, Dairy",Halal,60,Made on order; offer 2–3 filling options,Breakfast / Lunch,"Bread, eggs, beef/chicken, mayo (bulk KES 400/kg), veggies"
French Toast,BRK-07,Breakfast,"Thick-cut bread dipped in a spiced egg and milk batter, pan-fried golden and dusted with cinnamon sugar.",KES 160,KES 48,70.0%,pcs,Made on order,"Gluten, Eggs, Dairy","Halal, Vegetarian",50,Made on order,Breakfast,"Bread, eggs, milk, cinnamon, sugar, butter"
Avocado Toast,BRK-08,Breakfast,"Toasted artisan bread spread with smashed ripe avocado, seasoned with lime, chilli flakes and fresh herbs.",KES 200,KES 65,67.5%,pcs,Made on order,Gluten,"Halal, Vegan",50,Made on order; use ripe Kenyan avocados,Breakfast / Brunch,"Bread, avocado (bulk KES 30/pc), lime, chilli flakes, olive oil"
Egg and Toast,BRK-09,Breakfast,"Two fried or scrambled eggs alongside golden toast — a clean, protein-rich breakfast that powers your morning.",KES 130,KES 40,69.2%,pcs,Made on order,"Gluten, Eggs, Dairy","Halal, Vegetarian",80,Made on order,Breakfast,"Eggs (KES 15/pc bulk), bread (bulk loaf KES 60), butter"
Eggs Benedict,BRK-10,Breakfast,Poached eggs on toasted English muffins with our house hollandaise sauce and a sprinkle of paprika.,KES 350,KES 120,65.7%,pcs,Made on order,"Gluten, Eggs, Dairy","Halal, Vegetarian",30,Premium item; made on order; chef skill required,Breakfast / Brunch,"Eggs, muffins, butter (bulk KES 800/kg), lemon, paprika"
"Toast, Avo, Strawberries & Scrambled Eggs",BRK-11,Breakfast,"A vibrant breakfast plate — creamy scrambled eggs, smashed avocado and fresh strawberries on toasted bread.",KES 380,KES 130,65.8%,pcs,Made on order,"Gluten, Eggs, Dairy","Halal, Vegetarian",20,Premium plate; seasonal strawberries,Breakfast / Brunch,"Eggs, bread, avocado, strawberries (KES 200/kg bulk)"
Soft-Layered Chapati,SNK-01,Snack,"Hand-rolled soft multi-layered chapati, cooked in a touch of oil until golden and pliable — the Kenyan favourite.",KES 50,KES 12,76.0%,pcs,1,Gluten,"Halal, Vegan",200,Batch-cook daily; sell individually or as part of meal,All day,"Wheat flour (bulk KES 75/kg), cooking oil (bulk 20L ~KES 3800), salt"
Beef Burrito Wrap,SNK-02,Snack,"Flour tortilla loaded with spiced beef, fresh salsa, lettuce, cheese and sour cream — big flavour, handheld.",KES 350,KES 110,68.6%,pcs,Made on order,"Gluten, Dairy, Beef",Halal,30,Made on order; keep fillings prepped,Lunch / Snack,"Flour tortilla, minced beef, cheese, sour cream, veggies, spices"
Croissant,SNK-03,Snack,"Buttery, flaky all-butter croissant baked fresh in-house — light, layered and simply perfect with coffee.",KES 120,KES 38,68.3%,pcs,2,"Gluten, Dairy, Eggs","Halal, Vegetarian",60,Bake daily; sell by noon,Breakfast / Snack,"Wheat flour, butter (bulk KES 800/kg), eggs, yeast, salt, sugar"
Muffins,SNK-04,Snack,"Moist, generously topped muffins in rotating flavours — blueberry, chocolate chip and banana walnut.",KES 100,KES 28,72.0%,pcs,3,"Gluten, Dairy, Eggs, Nuts","Halal, Vegetarian",60,Bake daily; display at counter,All day,"Flour, butter, eggs, sugar, milk, flavourings, baking powder"
Cookies,SNK-05,Snack,"Thick, chewy cookies with crisp edges — classic chocolate chip, oatmeal raisin and peanut butter varieties.",KES 60,KES 15,75.0%,pcs,7,"Gluten, Dairy, Eggs, Nuts","Halal, Vegetarian",100,Bake in large batches; good shelf life,All day,"Flour (bulk KES 75/kg), butter, sugar, eggs, chocolate chips"
Chocolate Donuts,SNK-06,Snack,Ring donuts dipped in rich chocolate glaze and topped with rainbow sprinkles — a crowd-pleasing sweet treat.,KES 80,KES 22,72.5%,pcs,2,"Gluten, Dairy, Eggs","Halal, Vegetarian",80,Fry fresh daily; display prominently,All day,"Flour, eggs, sugar, yeast, butter, chocolate glaze (bulk cocoa)"
Cupcake,SNK-07,Snack,"Fluffy sponge cupcake crowned with whipped buttercream frosting — vanilla, chocolate or red velvet.",KES 100,KES 28,72.0%,pcs,3,"Gluten, Dairy, Eggs","Halal, Vegetarian",60,Bake daily; decorate with seasonal themes,All day,"Flour, butter, sugar, eggs, milk, food colouring, icing sugar"
Kaimati,SNK-08,Snack,"Sweet, sticky East African doughnut balls glazed in cardamom-spiced syrup — crispy outside, fluffy inside.",KES 50,KES 12,76.0%,pcs,1,Gluten,"Halal, Vegan",100,Fry in batches; sell warm,Breakfast / Snack,"Flour, sugar, cardamom, yeast, oil (bulk), water"
Mini Pizza,SNK-09,Snack,"Individual pizza bases topped with tomato sauce, mozzarella and a choice of beef, chicken or veggie toppings.",KES 200,KES 65,67.5%,pcs,Made on order,"Gluten, Dairy",Halal,40,Batch-bake bases; assemble to order,Lunch / Snack,"Flour, cheese (bulk KES 900/kg), tomato paste, toppings, yeast"
Chocolate Rolls,SNK-10,Snack,"Soft, pillowy bread rolls swirled with rich chocolate filling and dusted with icing sugar — irresistibly indulgent.",KES 100,KES 28,72.0%,pcs,3,"Gluten, Dairy, Eggs","Halal, Vegetarian",60,Bake daily; great with coffee,All day,"Flour, butter, eggs, sugar, cocoa powder, yeast, milk"
Bhajia (Veggie Fritters),SNK-11,Fast food,"Golden, crispy chickpea flour fritters packed with spiced potato and onion — the ultimate Nairobi snack.",KES 150,KES 42,72.0%,pcs,1,Gluten,"Halal, Vegan",60,Fry to order; serve with tamarind or chilli dip,All day,"Chickpea flour (besan bulk), potatoes (KES 45/kg bulk), onions, spices"
Chips Masala,SNK-12,Fast food,"Crispy golden fries tossed in our house masala spice blend with fresh tomatoes, onions and chilli — addictive.",KES 200,KES 55,72.5%,pcs,Made on order,None,"Halal, Vegan",60,Fry to order; use fresh potatoes,All day,"Potatoes (bulk KES 45/kg), cooking oil, masala spices, tomatoes"
Smokies with Stir-Fry,SNK-13,Fast food,Juicy grilled smokies served alongside a vibrant stir-fried vegetable medley with garlic and ginger sauce.,KES 200,KES 65,67.5%,pcs,Made on order,Beef,Halal,40,Grill smokies fresh; stir-fry veggies to order,All day,"Smokies (bulk KES 350/10-pack), cabbage, carrots, peppers, garlic"
Cheeseburger,SNK-14,Fast food,"Juicy seasoned beef patty in a toasted sesame bun with cheddar, fresh lettuce, tomato, pickles and our secret sauce.",KES 380,KES 120,68.4%,pcs,Made on order,"Gluten, Dairy, Beef, Eggs",Halal,40,Made to order; keep patties prepped and chilled,Lunch / Dinner,"Minced beef (bulk KES 880/kg), buns, cheddar, lettuce, tomato, sauce"
Beef Stew with Rice & Cabbage Salad,LND-01,Lunch/dinner,"Slow-cooked tender beef stew with aromatic spices, served over fluffy basmati rice and crisp fresh cabbage salad.",KES 350,KES 110,68.6%,plate,1,None,Halal,50,Cook in large batches; popular staple,Lunch / Dinner,"Beef bone-in (bulk KES 850/kg), basmati rice (bulk KES 140/kg), cabbage"
Chicken Stew,LND-02,Lunch/dinner,"Rich, hearty Kenyan chicken stew slow-cooked with tomatoes, onions and aromatic spices — soul-warming comfort food.",KES 320,KES 100,68.8%,plate,1,None,Halal,50,Cook in large batches,Lunch / Dinner,"Chicken legs (bulk KES 600/kg), tomatoes, onions, spices, oil"
Cheese Noodles,LND-03,Lunch/dinner,Creamy wok-tossed noodles in a rich cheese sauce with sautéed vegetables and a hint of garlic — comfort in a bowl.,KES 280,KES 85,69.6%,plate,Made on order,"Gluten, Dairy, Eggs","Halal, Vegetarian",30,Made to order; popular with youth,Lunch / Dinner,"Noodles (bulk KES 120/kg), cheddar/processed cheese, butter, veggies"
Ugali with Beef Stew,LND-04,Lunch/dinner,The Kenyan staple — firm ugali made from stone-ground maize flour served with deeply flavoured slow-cooked beef stew.,KES 300,KES 90,70.0%,plate,1,None,"Halal, Gluten-Free",80,High-volume daily staple,Lunch / Dinner,"Maize flour (bulk KES 78/kg), beef (KES 850/kg bulk), tomatoes, spices"
Beans & Sweet Corn Stew,LND-05,Lunch/dinner,"Protein-packed stew of borlotti beans and sweet corn in a spiced tomato base — hearty, filling and plant-powered.",KES 250,KES 65,74.0%,plate,2,None,"Halal, Vegan, Gluten-Free",40,Cook in bulk; great vegetarian option,Lunch / Dinner,"Dried beans (bulk KES 120/kg), sweet corn, tomatoes, onions, spices"
"Beef Stew, Crispy Fries & Kachumbari",LND-06,Lunch/dinner,Tender beef stew paired with golden hand-cut fries and refreshing kachumbari — a Kenyan crowd favourite.,KES 380,KES 120,68.4%,plate,Made on order,None,Halal,50,Popular combo; keep stew hot and fry fresh,Lunch / Dinner,"Beef, potatoes (KES 45/kg bulk), tomatoes, onions, cooking oil"
Chicken Pilau,LND-07,Lunch/dinner,Fragrant East African pilau — tender chicken and spiced basmati rice slow-cooked with whole spices and caramelised onions.,KES 380,KES 120,68.4%,plate,1,None,"Halal, Gluten-Free",40,Cook in batch; weekend staple,Lunch / Dinner,"Chicken (KES 600/kg bulk), basmati rice, pilau masala, onions, ghee"
Rice & Lentil Stew,LND-08,Lunch/dinner,"Comforting Kenyan-style lentil dhal served over fluffy rice — spiced with cumin, ginger and fresh tomatoes.",KES 250,KES 65,74.0%,plate,2,None,"Halal, Vegan, Gluten-Free",40,Cook in bulk; great budget vegan option,Lunch / Dinner,"Lentils (bulk KES 100/kg), rice, tomatoes, cumin, ginger, onions"
"Ugali, Spinach & Scrambled Egg",LND-09,Lunch/dinner,"Smooth ugali served with silky sautéed spinach and fluffy scrambled eggs — a wholesome, balanced Kenyan plate.",KES 280,KES 80,71.4%,plate,1,Eggs,"Halal, Vegetarian, Gluten-Free",40,Popular vegetarian plate,Lunch / Dinner,"Maize flour, fresh spinach (KES 50/kg bulk), eggs (KES 15/pc)"
Savory Carrot Pancakes,LND-10,Lunch/dinner,"Fluffy savoury pancakes packed with grated carrot, spring onions and spices — served with a yoghurt dip.",KES 280,KES 80,71.4%,plate,Made on order,"Gluten, Dairy, Eggs","Halal, Vegetarian",25,Niche dish; great for differentiation,Lunch / Dinner,"Wheat flour, carrots (bulk KES 40/kg), eggs, yoghurt, spring onions"
Spicy Stir-Fried Baby Fish (Omena),LND-11,Lunch/dinner,"Lake Victoria omena stir-fried with tomatoes, onions, chilli and garlic until crispy and boldly spiced.",KES 280,KES 75,73.2%,plate,2,Fish,"Halal, Gluten-Free",30,Popular with local demographic; keep dried omena in stock,Lunch / Dinner,"Dried omena (bulk KES 200/kg), tomatoes, onions, chilli, garlic"
"Ugali, Chicken Stew & Collard Greens",LND-12,Lunch/dinner,"The ultimate Kenyan trio — firm ugali, rich chicken stew and tender sukuma wiki — a complete nourishing meal.",KES 350,KES 108,69.1%,plate,1,None,"Halal, Gluten-Free",50,Top-seller; batch cook all three components,Lunch / Dinner,"Maize flour, chicken (KES 600/kg), sukuma wiki (bulk KES 30/kg), spices"
Spicy Beef Stew with Veggie Fried Rice,LND-13,Lunch/dinner,"Boldly spiced beef stew served alongside wok-tossed vegetable fried rice with soy, garlic and sesame.",KES 380,KES 118,68.9%,plate,Made on order,"Gluten, Soy",Halal,35,Keep rice and stew prepped; combine to order,Lunch / Dinner,"Beef, rice, mixed veggies, soy sauce, sesame oil, garlic, ginger"
"Ugali, Beef, Greens & Avocado",LND-14,Lunch/dinner,"A generous plate of ugali, slow-cooked beef, sautéed greens and creamy fresh avocado — balanced and satisfying.",KES 380,KES 118,68.9%,plate,1,None,"Halal, Gluten-Free",40,Premium ugali plate; avocado availability seasonal,Lunch / Dinner,"Maize flour, beef (KES 850/kg), greens, avocado (KES 30/pc bulk)"
"Grilled Chicken Wings, Wedges & Greek Salad",LND-15,Lunch/dinner,Smoky chargrilled chicken wings with crispy seasoned potato wedges and a fresh Greek-style salad.,KES 480,KES 155,67.7%,plate,Made on order,"Dairy, Eggs",Halal,30,Premium item; marinate wings overnight,Lunch / Dinner,"Chicken wings (bulk KES 700/kg), potatoes, feta, olives, cucumber"
Spicy Chicken with Rice & Cabbage Salad,LND-16,Lunch/dinner,"Boldly spiced chicken pieces served with fluffy rice and a crisp, tangy cabbage salad — flavour-packed everyday eat.",KES 350,KES 108,69.1%,plate,1,None,"Halal, Gluten-Free",50,High-volume item; batch cook chicken,Lunch / Dinner,"Chicken (KES 600/kg), rice (KES 140/kg bulk), cabbage, spices"
Beef and Potato Stew,LND-17,Lunch/dinner,"Classic Kenyan beef and potato stew slow-cooked with tomatoes and aromatic spices — hearty, affordable comfort.",KES 320,KES 98,69.4%,plate,1,None,"Halal, Gluten-Free",50,Budget-friendly; great volume seller,Lunch / Dinner,"Beef (KES 850/kg bulk), potatoes (KES 45/kg), tomatoes, spices"
Stuffed Paneer Pockets,LND-18,Lunch/dinner,"Warm flatbread pockets filled with spiced Indian paneer, peppers and onions — a fusion delight.",KES 320,KES 98,69.4%,plate,Made on order,"Gluten, Dairy","Halal, Vegetarian",20,Niche dish; source paneer locally or make in-house,Lunch / Dinner,"Wheat flour, paneer (bulk KES 700/kg), peppers, onions, spices"
"Spicy Chicken Stir-Fry with Peppers, Rice & Fries",LND-19,Lunch/dinner,Wok-fired chicken with vibrant bell peppers in a spicy sauce served with rice and golden fries on the side.,KES 420,KES 135,67.9%,plate,Made on order,None,"Halal, Gluten-Free",30,Popular fusion plate; prep chicken and veg ahead,Lunch / Dinner,"Chicken, bell peppers, rice, potatoes, soy sauce, garlic, spices"
Ugali with Kienyeji Greens,LND-20,Lunch/dinner,"Traditional firm ugali paired with earthy, nutrient-rich kienyeji (indigenous) greens — proudly Kenyan.",KES 250,KES 65,74.0%,plate,1,None,"Halal, Vegan, Gluten-Free",60,Source kienyeji greens from local farms; budget item,Lunch / Dinner,"Maize flour (KES 78/kg bulk), kienyeji greens (KES 40/kg), onions, oil"
Biryani Rice,LND-21,Lunch/dinner,"Fragrant, slow-cooked biryani rice layered with spices, caramelised onions and your choice of chicken or beef.",KES 400,KES 128,68.0%,plate,1,None,"Halal, Gluten-Free",30,Cook in large pots; weekend special,Lunch / Dinner,"Basmati rice, chicken/beef, biryani spices, onions, yoghurt, saffron"
Bone Broth,LND-22,Lunch/dinner,"Slow-simmered beef bone broth rich in collagen and minerals — deeply nourishing, warming and healing.",KES 250,KES 65,74.0%,bowl,3,None,"Halal, Gluten-Free",20,Simmer for 8–12 hrs; great use of beef bones (cheap),All day,"Beef bones (bulk KES 850/kg), onions, garlic, ginger, herbs, water"
Chicken Soup,LND-23,Lunch/dinner,"Comforting slow-cooked chicken soup with vegetables, herbs and soft noodles — the ultimate feel-good bowl.",KES 280,KES 80,71.4%,bowl,2,Gluten (if noodles),Halal,20,Make fresh daily; great for cold/rainy days,All day,"Chicken (KES 600/kg bulk), carrots, celery, noodles, herbs, stock"
